"","id","decimalLongitude","decimalLatitude","catalogNumber","datasetName","obisID","scientificNameID","genus","family","order","species","speciesID","sex","datasetID"
"23",422895,-59.4110984802246,46.4719009399414,"ARC 120711","Fishbase occurrences hosted by GBIF-Sweden",402406,"urn:lsid:marinespecies.org:taxname:126758","Anarhichas","Anarhichadidae","Perciformes","Anarhichas lupus",402406,NA,NA
"24",443201,-59.6666984558105,46.6666984558105,"ARC 148823","Fishbase occurrences hosted by GBIF-Sweden",452804,"urn:lsid:marinespecies.org:taxname:159518","Hemitripterus","Hemitripteridae","Scorpaeniformes","Hemitripterus americanus",452804,NA,NA
"25",504239,-59.6666984558105,46.6666984558105,"ARC 112783","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"26",524858,-59.4000015258789,46.4658012390137,"ARC 121366","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"27",545148,-59.88330078125,46.8333015441895,"ARC 114178","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"28",565321,-59.4275016784668,46.4702987670898,"ARC 122187","Fishbase occurrences hosted by GBIF-Sweden",424201,"urn:lsid:marinespecies.org:taxname:126417","Clupea","Clupeidae","Clupeiformes","Clupea harengus",424201,NA,NA
"29",585567,-59.2332992553711,46.7352981567383,"ARC 157047","Fishbase occurrences hosted by GBIF-Sweden",516997,"urn:lsid:marinespecies.org:taxname:159785","Tautogolabrus","Labridae","Perciformes","Tautogolabrus adspersus",516997,NA,NA
"30",626180,-59.8166999816895,47.1666984558105,"ARC 149416","Fishbase occurrences hosted by GBIF-Sweden",464928,"urn:lsid:marinespecies.org:taxname:159184","Lophius","Lophiidae","Lophiiformes","Lophius americanus",464928,NA,NA
"31",646698,-59.8908004760742,47.0092010498047,"ARC 145984","Fishbase occurrences hosted by GBIF-Sweden",447296,"urn:lsid:marinespecies.org:taxname:127136","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Glyptocephalus cynoglossus",447296,NA,NA
"32",670260,-60.13330078125,47,"ARC 112519","Fishbase occurrences hosted by GBIF-Sweden",508085,"urn:lsid:marinespecies.org:taxname:158907","Scophthalmus","Scophthalmidae","Pleuronectiformes","Scophthalmus aquosus",508085,NA,NA
"33",710068,-59.2532997131348,46.7467002868652,"ARC 147008","Fishbase occurrences hosted by GBIF-Sweden",508646,"urn:lsid:marinespecies.org:taxname:127252","Sebastes","Sebastidae","Scorpaeniformes","Sebastes fasciatus",508646,NA,NA
"34",710575,-59.6539001464844,46.6674995422363,"ARC 165884","Fishbase occurrences hosted by GBIF-Sweden",1023164,"urn:lsid:marinespecies.org:taxname:293745","Stichaeus","Stichaeidae","Perciformes","Stichaeus punctatus",513989,NA,NA
"35",750195,-59.8067016601562,47.1641998291016,"ARC 146693","Fishbase occurrences hosted by GBIF-Sweden",467703,"urn:lsid:marinespecies.org:taxname:126735","Mallotus","Osmeridae","Osmeriformes","Mallotus villosus",467703,NA,NA
"36",831542,-59.6666984558105,46.6666984558105,"ARC 116445","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"37",831845,-59.6666984558105,46.6666984558105,"ARC 114692","Fishbase occurrences hosted by GBIF-Sweden",474447,"urn:lsid:marinespecies.org:taxname:127203","Myoxocephalus","Cottidae","Scorpaeniformes","Myoxocephalus scorpius",474447,NA,NA
"38",852146,-60.13330078125,47,"ARC 148256","Fishbase occurrences hosted by GBIF-Sweden",516997,"urn:lsid:marinespecies.org:taxname:159785","Tautogolabrus","Labridae","Perciformes","Tautogolabrus adspersus",516997,NA,NA
"39",872514,-59.88330078125,46.8333015441895,"ARC 112797","Fishbase occurrences hosted by GBIF-Sweden",454204,"urn:lsid:marinespecies.org:taxname:127137","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Hippoglossoides platessoides",454204,NA,NA
"40",872554,-59.6716995239258,46.7050018310547,"ARC 149740","Fishbase occurrences hosted by GBIF-Sweden",445694,"urn:lsid:marinespecies.org:taxname:126505","Gasterosteus","Gasterosteidae","Gasterosteiformes","Gasterosteus aculeatus",445694,NA,NA
"41",875415,-59.7833290100098,47.2750015258789,"1863-e","Eastern Canada Benthic Macro Fauna",744929,"urn:lsid:marinespecies.org:taxname:1806",NA,NA,NA,NA,NA,NA,NA
"42",892636,-59.6716995239258,46.7050018310547,"ARC 149741","Fishbase occurrences hosted by GBIF-Sweden",516997,"urn:lsid:marinespecies.org:taxname:159785","Tautogolabrus","Labridae","Perciformes","Tautogolabrus adspersus",516997,NA,NA
"43",912578,-59.6599998474121,46.6567001342773,"ARC 145988","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"44",931923,-59.8166999816895,47.1666984558105,"ARC 150566","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"45",952443,-59.88330078125,46.8333015441895,"ARC 114184","Fishbase occurrences hosted by GBIF-Sweden",467703,"urn:lsid:marinespecies.org:taxname:126735","Mallotus","Osmeridae","Osmeriformes","Mallotus villosus",467703,NA,NA
"46",953036,-59.6539001464844,46.6674995422363,"ARC 165882","Fishbase occurrences hosted by GBIF-Sweden",507947,"urn:lsid:marinespecies.org:taxname:127023","Scomber","Scombridae","Perciformes","Scomber scombrus",507947,NA,NA
"47",953041,-60.1363983154297,47.0017013549805,"ARC 161765","Fishbase occurrences hosted by GBIF-Sweden",424201,"urn:lsid:marinespecies.org:taxname:126417","Clupea","Clupeidae","Clupeiformes","Clupea harengus",424201,NA,NA
"48",993256,-59.8685989379883,46.8274993896484,"ARC 163294","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"49",993293,-59.6666984558105,46.6666984558105,"ARC 155431","Fishbase occurrences hosted by GBIF-Sweden",507953,"urn:lsid:marinespecies.org:taxname:236461","Scomberesox","Scomberesocidae","Beloniformes","Scomberesox saurus",507952,NA,NA
"50",1013621,-60.1072006225586,46.9693984985352,"ARC 122945","Fishbase occurrences hosted by GBIF-Sweden",495147,"urn:lsid:marinespecies.org:taxname:126441","Pollachius","Gadidae","Gadiformes","Pollachius virens",495147,NA,NA
"51",1033466,-59.6796989440918,46.6761016845703,"ARC 122931","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"52",1052781,-59.5,46.9333000183105,"ARC 154798","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"53",1053711,-60.4166679382324,47.1083335876465,"ROM 52514","Fishbase occurrences hosted by GBIF-Sweden",461955,"urn:lsid:marinespecies.org:taxname:127072","Leptoclinus","Stichaeidae","Perciformes","Leptoclinus maculatus",461955,NA,NA
"54",1053745,-59.6632995605469,46.6652984619141,"ARC 164355","Fishbase occurrences hosted by GBIF-Sweden",474447,"urn:lsid:marinespecies.org:taxname:127203","Myoxocephalus","Cottidae","Scorpaeniformes","Myoxocephalus scorpius",474447,NA,NA
"55",1074186,-59.2667007446289,46.5499992370605,"ARC 157727","Fishbase occurrences hosted by GBIF-Sweden",447296,"urn:lsid:marinespecies.org:taxname:127136","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Glyptocephalus cynoglossus",447296,NA,NA
"56",1114574,-59.6666984558105,46.6666984558105,"ARC 112778","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"57",1114651,-59.88330078125,46.8333015441895,"ARC 155742","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"58",1114694,-59.3974990844727,46.4808006286621,"ARC 161387","Fishbase occurrences hosted by GBIF-Sweden",424201,"urn:lsid:marinespecies.org:taxname:126417","Clupea","Clupeidae","Clupeiformes","Clupea harengus",424201,NA,NA
"59",1134924,-60.13330078125,47,"ARC 114706","Fishbase occurrences hosted by GBIF-Sweden",524073,"urn:lsid:marinespecies.org:taxname:126504","Urophycis","Phycidae","Gadiformes","Urophycis tenuis",524073,NA,NA
"60",1154554,-59.75,47.1413993835449,"ARC 165245","Fishbase occurrences hosted by GBIF-Sweden",465616,"urn:lsid:marinespecies.org:taxname:154675","Lumpenus","Stichaeidae","Perciformes","Lumpenus lampretaeformis",465616,NA,NA
"61",1175218,-59.7832984924316,47.11669921875,"ARC 149736","Fishbase occurrences hosted by GBIF-Sweden",618662,"urn:lsid:marinespecies.org:taxname:127214","Cyclopterus","Cyclopteridae","Scorpaeniformes","Cyclopterus lumpus",618662,NA,NA
"62",1175238,-59.6666984558105,46.6666984558105,"ARC 147826","Fishbase occurrences hosted by GBIF-Sweden",507947,"urn:lsid:marinespecies.org:taxname:127023","Scomber","Scombridae","Perciformes","Scomber scombrus",507947,NA,NA
"63",1195276,-59.6666984558105,46.6666984558105,"ARC 115671","Fishbase occurrences hosted by GBIF-Sweden",516997,"urn:lsid:marinespecies.org:taxname:159785","Tautogolabrus","Labridae","Perciformes","Tautogolabrus adspersus",516997,NA,NA
"64",1255143,-58.5169982910156,46.882999420166,"157942.121163","NMNH Invertebrate Zoology Collections",657297,"urn:lsid:marinespecies.org:taxname:451235","Philomedes","Philomedidae","Myodocopida","Philomedes albatross",657297,NA,NA
"65",1275493,-59.5,46.935001373291,"ARC 157041","Fishbase occurrences hosted by GBIF-Sweden",507953,"urn:lsid:marinespecies.org:taxname:236461","Scomberesox","Scomberesocidae","Beloniformes","Scomberesox saurus",507952,NA,NA
"66",1275672,-59.6857986450195,46.6622009277344,"ARC 120721","Fishbase occurrences hosted by GBIF-Sweden",495147,"urn:lsid:marinespecies.org:taxname:126441","Pollachius","Gadidae","Gadiformes","Pollachius virens",495147,NA,NA
"67",1275826,-59.2667007446289,46.5499992370605,"ARC 114721","Fishbase occurrences hosted by GBIF-Sweden",467703,"urn:lsid:marinespecies.org:taxname:126735","Mallotus","Osmeridae","Osmeriformes","Mallotus villosus",467703,NA,NA
"68",1316318,-59.6833000183105,46.6666984558105,"ARC 153110","Fishbase occurrences hosted by GBIF-Sweden",467703,"urn:lsid:marinespecies.org:taxname:126735","Mallotus","Osmeridae","Osmeriformes","Mallotus villosus",467703,NA,NA
"69",1336438,-59.2332992553711,46.7332992553711,"ARC 115676","Fishbase occurrences hosted by GBIF-Sweden",464928,"urn:lsid:marinespecies.org:taxname:159184","Lophius","Lophiidae","Lophiiformes","Lophius americanus",464928,NA,NA
"70",1356605,-59.7769012451172,47.1875,"ARC 147004","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"71",1356612,-59.809700012207,47.1693992614746,"ARC 158325","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"72",1376655,-59.88330078125,46.8333015441895,"ARC 114180","Fishbase occurrences hosted by GBIF-Sweden",627911,"urn:lsid:marinespecies.org:taxname:126436","Gadus","Gadidae","Gadiformes","Gadus morhua",627911,NA,NA
"73",1376862,-59.5,47.5,"ROM 62695","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"74",1376869,-59.8166999816895,47.1666984558105,"ARC 114707","Fishbase occurrences hosted by GBIF-Sweden",474447,"urn:lsid:marinespecies.org:taxname:127203","Myoxocephalus","Cottidae","Scorpaeniformes","Myoxocephalus scorpius",474447,NA,NA
"75",1376943,-59.5,46.9333000183105,"ARC 116448","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"76",1417357,-59.88330078125,46.8358001708984,"ARC 158315","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"77",1437871,-60.1183013916016,47.002498626709,"ARC 165860","Fishbase occurrences hosted by GBIF-Sweden",402406,"urn:lsid:marinespecies.org:taxname:126758","Anarhichas","Anarhichadidae","Perciformes","Anarhichas lupus",402406,NA,NA
"78",1477600,-59.6666984558105,46.6666984558105,"ARC 147824","Fishbase occurrences hosted by GBIF-Sweden",454204,"urn:lsid:marinespecies.org:taxname:127137","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Hippoglossoides platessoides",454204,NA,NA
"79",1478229,-59.6833000183105,46.6666984558105,"ARC 153107","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"80",1497987,-59.8166999816895,47.1666984558105,"ARC 150340","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"81",1498521,-59.6666984558105,46.6666984558105,"ARC 112784","Fishbase occurrences hosted by GBIF-Sweden",507947,"urn:lsid:marinespecies.org:taxname:127023","Scomber","Scombridae","Perciformes","Scomber scombrus",507947,NA,NA
"82",1558930,-59.8166999816895,47.1666984558105,"ARC 114149","Fishbase occurrences hosted by GBIF-Sweden",400648,"urn:lsid:marinespecies.org:taxname:151520","Ammodytes","Ammodytidae","Perciformes","Ammodytes dubius",400648,NA,NA
"83",1558935,-59.6666984558105,46.6666984558105,"ARC 155748","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"84",1558986,-59.88330078125,46.8333015441895,"ARC 112794","Fishbase occurrences hosted by GBIF-Sweden",524073,"urn:lsid:marinespecies.org:taxname:126504","Urophycis","Phycidae","Gadiformes","Urophycis tenuis",524073,NA,NA
"85",1579232,-60.13330078125,47,"ARC 148810","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"86",1579275,-59.88330078125,46.8333015441895,"ARC 114182","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
