"Poly_ID","Chordates","Arthropods","AllElse"
"711",720,78,57
"712",1696,439,1732
"713",324,5695,104
"714",2517,7262,583
"715",682,155,101
"716",739,1579,323
"717",762,484,332
"718",591,159,133
"719",964,342,177
"720",945,588,286
"721",751,239,156
"722",1054,92,156
"723",633,95,100
"724",2032,1625,502
"725",201,16,22
"726",133,5,6
"727",9,1,0
"728",0,8,11
"729",1,5,15
"730",16,2,0
"731",0,11,11
"732",2,38,18
"733",2,7,3
"735",371,6,0
"736",424,2,21
"737",403,19,8
"738",585,47,40
"739",1081,3249,119
"740",565,113,71
"741",573,72,68
"742",937,174,246
"743",897,92,24
"744",3070,131,108
"745",1030,89,69
"746",186,32352,3030
"747",626,16927,2
"748",352,788,116
"749",440,214,157
"750",483,683,428
"751",714,323,158
"752",439,369,240
"753",951,1502,422
"754",893,75,92
"755",916,640,204
"756",972,75,111
"757",2800,154,189
"758",190,36,33
"759",28,15,28
"760",5,4,1
"761",1,0,2
"762",22,9,17
"763",3,4,1
"764",4,7,0
"765",2,40,11
"766",37,0,0
"767",544,11,8
"768",861,4447,32797
"769",889,106,216
"770",2939,187,80
"771",491,53,24
"772",646,140,95
"773",608,167,104
"774",502,139,119
"775",420,87,40
"776",573,89,120
"777",5532,621,87
"778",1730,312,155
"779",134,1414,732
"780",114,13046,10
"781",1012,148,33
"782",513,796,289
"783",766,765,454
"784",957,955,261
"785",920,329,291
"786",465,242,244
"787",849,145,139
"788",936,120,84
"789",1595,85,144
"790",1145,174,153
"791",669,28,31
"792",22,22,22
"793",6,5,1
"794",3,0,0
"795",0,9,12
"796",2,6,4
"797",3,6,7
"798",4,0,0
"799",628,2574,11696
"800",682,115,5629
"801",154,13,5254
"802",651,254,67
"803",930,147,114
"804",686,92,76
"805",2916,166,80
"806",1154,231,179
"807",2532,126,57
"808",530,143,99
"809",684,191,128
"810",577,300,170
"811",711,166,126
"812",716,159,141
"813",646,79,48
"814",926,181,146
"815",936,227,175
"816",318,8262,37
"817",826,892,152
"818",858,1242,357
"819",426,424,272
"820",525,508,263
"821",645,187,239
"822",793,241,232
"823",464,90,62
"824",4488,43,74
"825",581,32,87
"826",914,36,129
"827",156,3,68
"828",4,37,35
"829",1,0,0
"830",9,0,0
"831",9,6,0
"832",4,7,15
"833",0,9,0
"834",790,3,0
"835",489,368,1463
"836",64,29,13
"837",499,55,57
"838",1121,167,105
"839",2523,347,72
"840",1646,143,82
"841",1035,174,195
"842",901,184,96
"843",703,169,70
"844",385,158,113
"845",654,212,156
"846",650,197,148
"847",695,162,200
"848",802,233,246
"849",894,262,220
"850",2111,289,238
"851",657,103,105
"852",92,6128,386
"853",1615,1296,259
"854",861,154,64
"855",281,151,97
"856",851,472,361
"857",800,471,312
"858",689,280,228
"859",538,255,251
"860",1009,63,139
"861",1669,49,128
"862",701,120,125
"863",394,79,57
"864",200,17,48
"865",3,17,10
"866",7,0,0
"867",19,32,16
"868",30,0,0
"869",10,8,6
"870",1,0,8
"871",1,12,9
"872",542,0,3
"873",507,0,1
"874",346,13,13
"875",1237,153,85
"876",1667,222,53
"877",1205,579,145
"878",1596,3191,310
"879",1861,775,166
"880",791,119,56
"881",582,685,145
"882",767,674,129
"883",711,229,190
"884",454,540,127
"885",345,69,74
"886",894,625,244
"887",2752,757,491
"888",6994,881,356
"889",2801,17477,20
"890",462,89,66
"891",374,29,58
"892",940,634,181
"893",583,482,345
"894",558,316,217
"895",833,345,319
"896",886,221,229
"897",1208,95,88
"898",548,118,81
"899",340,134,40
"900",247,353,49
"901",134,829,86
"902",52,15,8
"903",18,37,10
"904",20,12,6
"905",52,0,0
"906",3,12,7
"907",34,0,0
"908",2,13,0
"909",1,7,8
"910",675,0,4
"911",416,0,0
"912",273,3,2
"913",1840,223,6860
"914",5264,121,83
"915",2310,129,78
"916",1102,175,62
"917",582,127,63
"918",545,149,88
"919",479,178,95
"920",675,188,184
"921",485,63,59
"922",272,42,180
"923",1265,113,100
"924",526,234,142
"925",2310,754,355
"926",2109,13248,40
"927",1251,156,96
"928",818,122,84
"929",2374,48,37
"930",1477,67,78
"931",643,16,61
"932",884,1753,237
"933",737,438,234
"934",800,351,220
"935",1188,509,309
"936",591,298,207
"937",241,57,47
"938",215,42,30
"939",413,48,26
"940",669,102,93
"941",138,37,6
"942",22,12,6
"943",10,17,3
"944",18,20,19
"945",61,25,16
"946",13,8,7
"947",5,15,10
"948",18,0,0
"949",0,12,3
"950",0,8,2
"951",264,0,1
"952",367,0,12
"953",2454,210,243
"954",2156,188,109
"955",1525,180,102
"956",737,157,130
"957",755,155,55
"958",601,223,175
"959",585,236,153
"960",543,163,137
"961",754,94,174
"962",913,198,6300
"963",788,190,76
"964",557,168,195
"965",2377,266,247
"966",650,12315,38
"967",3197,79,105
"968",3626,136,111
"969",4589,269,115
"970",1055,32,58
"971",1055,52,76
"972",962,62,79
"973",1574,283,99
"974",1515,440,290
"975",342,232,177
"976",598,542,312
"977",434,364,123
"978",650,976,219
"979",807,120,107
"980",737,133,111
"981",1019,238,77
"982",186,20,15
"983",42,12,14
"984",6,0,0
"985",62,29,14
"986",79,12,14
"988",0,21,7
"989",39,29,5
"990",3,23,37
"991",27,19,9
"992",5,7,3
"993",354,0,0
"994",463,6,1
"995",2507,310,163
"996",2977,254,136
"997",1311,269,140
"998",627,261,115
"999",513,139,115
"1000",719,178,139
"1001",574,244,196
"1002",681,136,145
"1003",659,201,168
"1004",1301,49,188
"1005",803,202,214
"1006",597,133,152
"1007",1693,972,291
"1008",1292,5182,342
"1009",2130,565,136
"1010",1033,46,69
"1011",977,122,57
"1012",913,126,44
"1013",687,74,29
"1014",255,43,7
"1015",163,19,24
"1016",250,318,83
"1017",425,317,232
"1018",619,887,383
"1019",735,700,454
"1020",784,177,126
"1021",765,238,232
"1022",1316,142,73
"1023",475,120,125
"1024",1589,153,120
"1025",99,20,10
"1026",28,41,25
"1027",82,58,11
"1028",44,12,8
"1029",3,30,38
"1030",72,12,3
"1031",20,18,2
"1032",0,24,15
"1034",0,17,11
"1035",10,22,16
"1036",250,0,0
"1037",207,1,0
"1038",263,570,42
"1039",307,459,1511
"1040",697,84,93
"1041",1729,195,133
"1042",2333,157,148
"1043",870,233,224
"1044",627,179,303
"1045",648,193,156
"1046",686,174,216
"1047",590,130,117
"1048",490,74,81
"1049",410,27,121
"1050",279,43,11
"1051",761,167,306
"1052",776,153,324
"1053",1545,242,193
"1054",988,2640,388
"1055",215,4,8
"1056",335,11,0
"1057",207,1,3
"1058",21,0,2
"1059",34,4,4
"1060",387,292,66
"1061",698,95,96
"1062",797,729,202
"1063",750,636,326
"1064",871,491,465
"1065",1039,730,533
"1066",1255,278,121
"1067",1020,181,116
"1068",548,137,114
"1069",470,89,69
"1070",632,74,85
"1071",1402,95,117
"1072",161,135,55
"1073",58,37,14
"1074",98,40,10
"1075",28,0,0
"1076",16,31,14
"1077",12,18,20
"1078",11,24,4
"1079",6,8,6
"1080",0,22,17
"1081",185,56,45
"1082",53,62,35
"1083",21,31,9
"1084",136,0,0
"1085",409,3,0
"1086",349,1155,5949
"1087",292,425,26
"1088",384,1,0
"1089",303,0,3
"1090",800,112,46
"1091",1627,180,107
"1092",1401,102,56
"1093",1379,115,75
"1094",2468,205,117
"1095",1312,168,95
"1096",988,142,181
"1097",890,148,233
"1098",599,110,191
"1099",978,103,129
"1100",1197,60,85
"1101",560,106,174
"1102",1093,192,285
"1103",1155,158,94
"1104",253,338,77
"1105",466,1676,183
"1106",319,2,0
"1107",150,13,14
"1108",346,55,38
"1109",600,117,60
"1110",788,98,85
"1111",579,368,59
"1112",696,149,74
"1113",849,87,62
"1114",1597,390,361
"1115",1411,524,413
"1116",557,414,382
"1117",386,139,156
"1118",359,64,76
"1119",354,79,80
"1120",925,143,69
"1121",2951,153,114
"1122",894,94,68
"1123",898,228,199
"1124",1350,263,202
"1125",800,158,148
"1126",741,82,57
"1127",678,204,87
"1128",152,45,31
"1129",751,124,136
"1130",528,173,97
"1131",1528,201,185
"1132",641,153,118
"1133",1490,174,159
"1134",411,4,1
"1135",483,645,263
"1136",510,1311,23452
"1137",297,1,0
"1138",408,1,0
"1139",296,1,8
"1140",528,629,47
"1141",305,12,3
"1142",440,22,11
"1143",1070,70,46
"1144",920,70,25
"1145",1258,99,58
"1146",629,9,8
"1147",440,12,1
"1148",519,46,14
"1149",768,120,43
"1150",893,58,63
"1151",1551,640,229
"1152",1656,228,236
"1153",1846,240,222
"1154",1669,90,87
"1155",559,2,5
"1156",107,34,2
"1157",346,275,31
"1158",1161,1211,160
"1159",993,137,75
"1160",771,91,46
"1161",817,105,52
"1162",709,118,70
"1163",661,97,39
"1164",1196,151,106
"1165",1433,151,85
"1166",579,128,92
"1167",415,102,123
"1168",351,382,354
"1169",516,365,221
"1170",350,125,104
"1171",344,152,111
"1172",547,201,97
"1173",1330,98,71
"1174",479,116,78
"1175",1515,129,74
"1176",1168,138,105
"1177",1411,255,145
"1178",1196,154,125
"1179",985,108,79
"1180",877,108,58
"1181",1448,80,108
"1182",1325,103,105
"1183",1796,199,162
"1184",1128,121,68
"1185",1371,116,76
"1186",998,136,99
"1187",1987,602,6034
"1188",314,1,0
"1189",300,1,0
"1190",376,0,0
"1191",307,0,0
"1192",340,3,6
"1193",317,1161,83
"1194",282,1,2
"1195",433,1,4
"1196",295,0,3
"1197",404,5,2
"1198",378,3,5
"1199",324,0,0
"1200",350,1,0
"1201",254,0,0
"1202",396,2,14
"1203",685,471,34
"1204",472,35,10
"1205",345,1,1
"1206",272,0,0
"1207",432,28,1
"1208",427,17,95
"1209",1078,8,3
"1210",1247,2206,248
"1211",3579,164,65
"1212",1551,148,90
"1213",1753,101,58
"1214",1186,160,91
"1215",919,64,111
"1216",1205,98,69
"1217",1462,113,56
"1218",476,90,71
"1219",1756,95,100
"1220",475,189,158
"1221",575,242,230
"1222",450,465,288
"1223",511,202,124
"1224",556,166,54
"1225",516,204,100
"1226",464,206,114
"1227",1722,123,54
"1228",678,114,63
"1229",451,76,59
"1230",560,88,54
"1231",568,74,58
"1232",542,92,64
"1233",790,73,42
"1234",503,46,31
"1235",460,25,20
"1236",301,31,30
"1237",440,71,27
"1238",391,61,45
"1239",284,46,31
"1240",527,0,0
"1241",313,0,0
"1242",609,6,0
"1243",265,0,0
"1244",575,550,64
"1245",365,3,7
"1246",361,0,0
"1247",171,5,12
"1248",230,0,5
"1249",152,0,5
"1250",256,1,0
"1251",300,1,6
"1252",537,0,5
"1253",329,1,0
"1254",289,1,0
"1255",453,436,35
"1256",278,2,0
"1257",468,2,0
"1258",369,1,1
"1259",875,6,0
"1260",993,13,1
"1261",1072,7,4
"1262",1179,52,10
"1263",876,112,37
"1264",1063,92,32
"1265",808,66,53
"1266",3412,95,58
"1267",877,78,49
"1268",1412,58,76
"1269",511,601,519
"1270",403,386,298
"1271",478,511,261
"1272",573,305,169
"1273",467,179,52
"1274",316,147,64
"1275",533,215,72
"1276",399,128,65
"1277",288,112,34
"1278",272,88,60
"1279",323,101,37
"1280",577,127,48
"1281",480,61,10
"1282",541,61,37
"1283",272,16,29
"1284",243,10,10
"1285",259,33,18
"1286",274,50,17
"1287",284,76,37
"1288",297,45,29
"1289",94,0,0
"1290",151,0,0
"1291",289,5,3
"1292",512,1,0
"1293",30,1,0
"1294",294,7,161
"1295",466,3,5
"1296",497,456,39
"1297",285,1,0
"1298",184,0,0
"1299",335,4,33
"1300",1053,3,3
"1301",1455,2,6
"1302",618,5,7
"1303",610,76,16
"1304",815,97,38
"1305",927,46,28
"1306",2779,63,56
"1307",907,98,63
"1308",434,306,179
"1309",608,626,584
"1310",604,270,198
"1311",586,420,204
"1312",453,364,187
"1313",465,215,46
"1314",401,162,67
"1315",369,186,113
"1316",308,142,49
"1317",498,120,50
"1318",336,85,49
"1319",279,125,59
"1320",417,208,48
"1321",336,145,59
"1322",523,102,19
"1323",351,36,43
"1324",390,62,27
"1325",320,29,7
"1326",415,64,26
"1327",484,39,36
"1328",237,67,54
"1329",278,0,3
"1330",489,0,2
"1331",312,2,0
"1332",164,1,0
"1333",41,1,3
"1334",284,3,5
"1335",476,516,43
"1336",512,2,1
"1337",527,0,0
"1338",661,0,0
"1339",1104,10,0
"1340",1177,8,7
"1341",681,5,7
"1342",328,46,19
"1343",1712,47,13
"1344",579,55,49
"1345",1009,76,64
"1346",499,284,148
"1347",599,803,542
"1348",629,314,179
"1349",488,384,139
"1350",443,484,279
"1351",376,134,36
"1352",542,249,74
"1353",447,142,70
"1354",428,160,75
"1355",521,129,65
"1356",222,120,38
"1357",174,92,23
"1358",347,108,25
"1359",438,130,71
"1360",468,100,65
"1361",369,83,42
"1362",222,37,20
"1363",441,64,41
"1364",577,73,13
"1365",674,561,41
"1366",581,83,41
"1367",95,1,5
"1368",652,3,1
"1369",373,0,0
"1370",211,4,2
"1371",257,1,1
"1372",311,1,0
"1373",317,1,1
"1374",235,0,1
"1375",162,0,0
"1376",211,10,24
"1377",202,0,0
"1378",508,0,0
"1379",504,0,0
"1380",536,3,4
"1381",825,2,3
"1382",670,11,7
"1383",418,1,9
"1384",143,5,5
"1385",161,32,20
"1386",1386,32,43
"1387",2006,129,43
"1388",718,440,207
"1389",478,563,424
"1390",325,210,116
"1391",596,234,115
"1392",432,608,341
"1393",460,216,97
"1394",480,85,44
"1395",471,158,64
"1396",256,166,87
"1397",425,167,38
"1398",372,79,28
"1399",463,204,61
"1400",296,63,16
"1401",437,87,54
"1402",320,55,37
"1403",450,615,89
"1404",528,78,52
"1405",481,407,60
"1406",454,89,34
"1407",527,44,38
"1408",377,32,45
"1409",17,0,3
"1410",735,21,57
"1411",225,6,5
"1412",430,1,0
"1413",671,0,1
"1414",377,0,0
"1415",522,0,1
"1416",342,1,181
"1417",294,0,3
"1418",423,0,0
"1419",347,0,0
"1420",755,1,13
"1421",832,1,22
"1422",697,1,0
"1423",109,3,2
"1424",290,48,39
"1425",512,62,41
"1426",801,147,35
"1427",282,120,25
"1428",174,217,142
"1429",268,621,549
"1430",652,235,94
"1431",447,235,48
"1432",444,497,255
"1433",651,313,146
"1434",464,193,45
"1435",488,141,45
"1436",187,130,40
"1437",307,180,71
"1438",431,143,56
"1439",233,78,22
"1440",350,76,18
"1441",437,412,55
"1442",372,61,29
"1443",422,55,26
"1444",349,51,13
"1445",349,49,26
"1446",417,64,27
"1447",362,16,25
"1448",134,0,0
"1449",81,0,0
"1450",114,0,0
"1451",260,0,0
"1452",305,0,1
"1453",561,0,0
"1454",362,5,3
"1455",349,0,0
"1456",347,0,0
"1457",427,2,2
"1458",707,1,5
"1459",514,0,0
"1460",180,9,0
"1461",31,0,0
"1462",481,43,37
"1463",202,13,8
"1464",753,179,40
"1465",487,25,4
"1466",198,182,119
"1467",1342,614,465
"1468",326,141,45
"1469",173,72,21
"1470",453,434,230
"1471",601,364,148
"1472",490,177,56
"1473",362,98,32
"1474",394,248,65
"1475",282,117,39
